title,text,llm_justification,Monetary_Financial,Inflation_Prices,Real_Economic_Activity,Labor_Consumption,Fiscal_Government,External_Sector
Synthetic_Engine_Fast,"Despite aggressive monetary tightening, the labor market remains robust, but inflationary pressures continue to erode purchasing power.",Programmatic flat layout split optimization.,0.0,2.0,0.0,1.0,0.0,0.0
Synthetic_Engine_Fast,"Export volumes surged following currency depreciation, yet the fiscal deficit widened due to insufficient tax revenues.",Programmatic flat layout split optimization.,0.0,0.0,0.0,0.0,2.0,1.0
Synthetic_Engine_Fast,"Consumer spending rebounded strongly, while the central bank’s hawkish stance dampens investment sentiment.",Programmatic flat layout split optimization.,2.0,0.0,1.0,0.0,0.0,0.0
Synthetic_Engine_Fast,"Unemployment fell to a historic low, but rising input costs squeeze profit margins across manufacturing.",Programmatic flat layout split optimization.,0.0,2.0,0.0,1.0,0.0,0.0
Synthetic_Engine_Fast,"Government infrastructure spending boosted long-term growth prospects, however, it also led to a sharp increase in public debt.",Programmatic flat layout split optimization.,2.0,0.0,0.0,0.0,1.0,0.0
Synthetic_Engine_Fast,"Inflation decelerated more than expected, yet weak household consumption signals underlying economic fragility.",Programmatic flat layout split optimization.,0.0,1.0,0.0,2.0,0.0,0.0
Synthetic_Engine_Fast,"Corporate earnings improved due to strong domestic demand, but external trade imbalances worsened as imports outpaced exports.",Programmatic flat layout split optimization.,0.0,0.0,1.0,0.0,0.0,2.0
Synthetic_Engine_Fast,"The central bank’s rate cuts stimulated borrowing, but they also fueled asset price bubbles in the housing market.",Programmatic flat layout split optimization.,1.0,0.0,2.0,0.0,0.0,0.0
Synthetic_Engine_Fast,"Agricultural output expanded thanks to favorable weather, while the fiscal stimulus package raised concerns about long-term sustainability.",Programmatic flat layout split optimization.,0.0,0.0,1.0,0.0,2.0,0.0
Synthetic_Engine_Fast,"Wage growth accelerated in the services sector, yet the overall employment rate stagnated amid automation.",Programmatic flat layout split optimization.,0.0,0.0,2.0,1.0,0.0,0.0
Synthetic_Engine_Fast,"Portfolio inflows increased after policy reforms, but currency volatility hurt the competitiveness of exporters.",Programmatic flat layout split optimization.,2.0,0.0,0.0,0.0,0.0,1.0
Synthetic_Engine_Fast,"Tax revenue exceeded forecasts due to better compliance, while persistent core inflation forced the central bank to hold rates.",Programmatic flat layout split optimization.,0.0,2.0,0.0,0.0,1.0,0.0
Synthetic_Engine_Fast,"Industrial production rose sharply, though a shortage of skilled labor constrained further expansion.",Programmatic flat layout split optimization.,0.0,0.0,1.0,2.0,0.0,0.0
Synthetic_Engine_Fast,"Consumer confidence improved as job security increased, but the external current account deficit widened sharply.",Programmatic flat layout split optimization.,0.0,0.0,0.0,1.0,0.0,2.0
Synthetic_Engine_Fast,"Monetary policy remained accommodative, yet the government’s delayed budget approval undermined business confidence.",Programmatic flat layout split optimization.,1.0,0.0,0.0,0.0,2.0,0.0
Synthetic_Engine_Fast,"Despite tightening monetary conditions, exports surged due to robust foreign demand",Programmatic flat layout split optimization.,2.0,0.0,0.0,0.0,0.0,1.0
Synthetic_Engine_Fast,Consumer spending remains resilient even as inflation erodes purchasing power,Programmatic flat layout split optimization.,0.0,2.0,0.0,1.0,0.0,0.0
Synthetic_Engine_Fast,The fiscal deficit narrowed while manufacturing output contracted sharply,Programmatic flat layout split optimization.,0.0,0.0,2.0,0.0,1.0,0.0
Synthetic_Engine_Fast,Central bank rate cuts boosted investment but unemployment ticked upward,Programmatic flat layout split optimization.,1.0,0.0,0.0,2.0,0.0,0.0
Synthetic_Engine_Fast,Import costs fell sharply as the domestic currency strengthened against the dollar,Programmatic flat layout split optimization.,0.0,2.0,0.0,0.0,0.0,1.0
Synthetic_Engine_Fast,Strong job growth has been overshadowed by persistent price pressures in services,Programmatic flat layout split optimization.,0.0,2.0,0.0,1.0,0.0,0.0
Synthetic_Engine_Fast,Government infrastructure spending increased even as private capital expenditure stalled,Programmatic flat layout split optimization.,0.0,0.0,2.0,0.0,1.0,0.0
Synthetic_Engine_Fast,Lower interest rates improved credit availability yet wage growth remained subdued,Programmatic flat layout split optimization.,1.0,0.0,0.0,2.0,0.0,0.0
Synthetic_Engine_Fast,Export volumes hit a record high while the trade deficit continued to widen,Programmatic flat layout split optimization.,2.0,0.0,0.0,0.0,0.0,1.0
Synthetic_Engine_Fast,Core inflation moderated but the housing market showed signs of overheating,Programmatic flat layout split optimization.,0.0,1.0,2.0,0.0,0.0,0.0
Synthetic_Engine_Fast,Retail sales expanded rapidly as consumers took on more debt amid rising defaults,Programmatic flat layout split optimization.,2.0,0.0,0.0,1.0,0.0,0.0
Synthetic_Engine_Fast,"Tax revenues exceeded expectations, but public pension obligations grew unsustainably",Programmatic flat layout split optimization.,0.0,0.0,0.0,0.0,1.0,2.0
Synthetic_Engine_Fast,"The currency appreciation lowered import costs, but exporters lost global competitiveness",Programmatic flat layout split optimization.,0.0,0.0,2.0,0.0,0.0,1.0
Synthetic_Engine_Fast,Employment in the tech sector rose sharply while wage inflation surged across industries,Programmatic flat layout split optimization.,0.0,2.0,0.0,1.0,0.0,0.0
Synthetic_Engine_Fast,"Corporate tax cuts boosted business confidence, though income inequality measures worsened",Programmatic flat layout split optimization.,0.0,0.0,0.0,2.0,1.0,0.0
Synthetic_Engine_Fast,"Strong consumer spending boosts GDP growth, but the central bank's tightening cycle has raised borrowing costs.",Programmatic flat layout split optimization.,2.0,0.0,0.0,1.0,0.0,0.0
Synthetic_Engine_Fast,"Export volumes surged due to global demand, yet rising import prices widened the trade deficit.",Programmatic flat layout split optimization.,0.0,2.0,0.0,0.0,0.0,1.0
Synthetic_Engine_Fast,"The fiscal stimulus package spurred infrastructure projects, though it added significantly to public debt.",Programmatic flat layout split optimization.,0.0,0.0,1.0,0.0,2.0,0.0
Synthetic_Engine_Fast,"Wage increases lifted household purchasing power, but higher payroll taxes dampened business hiring.",Programmatic flat layout split optimization.,0.0,0.0,0.0,1.0,2.0,0.0
Synthetic_Engine_Fast,"Low unemployment continues to support aggregate demand, while persistent supply bottlenecks constrain industrial output.",Programmatic flat layout split optimization.,0.0,0.0,2.0,1.0,0.0,0.0
Synthetic_Engine_Fast,"The central bank's rate cuts eased credit conditions, but they fueled speculative asset bubbles.",Programmatic flat layout split optimization.,1.0,2.0,0.0,0.0,0.0,0.0
Synthetic_Engine_Fast,"Inflation moderated due to falling energy prices, reducing cost pressures, which in turn slowed consumer spending.",Programmatic flat layout split optimization.,0.0,1.0,0.0,2.0,0.0,0.0
Synthetic_Engine_Fast,"The drop in unemployment boosted household incomes, but it also led to tighter labor markets and wage inflation.",Programmatic flat layout split optimization.,0.0,2.0,0.0,1.0,0.0,0.0
Synthetic_Engine_Fast,"Government spending on R&D enhanced long-term productivity, while short-term fiscal deficits raised borrowing costs.",Programmatic flat layout split optimization.,2.0,0.0,0.0,0.0,1.0,0.0
Synthetic_Engine_Fast,"Foreign direct investment inflows strengthened capital formation, but they also increased exposure to global financial volatility.",Programmatic flat layout split optimization.,2.0,0.0,0.0,0.0,0.0,1.0
Synthetic_Engine_Fast,"Retail sales expanded robustly, yet inventory accumulation signals possible overproduction risks.",Programmatic flat layout split optimization.,0.0,0.0,2.0,1.0,0.0,0.0
Synthetic_Engine_Fast,"Cheaper imports reduced consumer prices, but they undercut domestic manufacturing competitiveness.",Programmatic flat layout split optimization.,0.0,0.0,2.0,0.0,0.0,1.0
Synthetic_Engine_Fast,"The recent interest rate cut lowered borrowing costs, but core inflation remains stubbornly high.",Programmatic flat layout split optimization.,1.0,2.0,0.0,0.0,0.0,0.0
Synthetic_Engine_Fast,"Strong corporate earnings boosted business investment, yet consumer confidence slumped amid rising layoffs.",Programmatic flat layout split optimization.,0.0,0.0,1.0,2.0,0.0,0.0
Synthetic_Engine_Fast,"Government infrastructure spending is fueling construction jobs, however the trade deficit widened sharply this quarter.",Programmatic flat layout split optimization.,0.0,0.0,0.0,0.0,1.0,2.0
Synthetic_Engine_Fast,"The labor market tightened as unemployment fell to a record low, but wage growth is not keeping up with inflation.",Programmatic flat layout split optimization.,0.0,2.0,0.0,1.0,0.0,0.0
Synthetic_Engine_Fast,"Export volumes surged due to strong global demand, but the central bank's tightening cycle is slowing domestic credit creation.",Programmatic flat layout split optimization.,2.0,0.0,0.0,0.0,0.0,1.0
Synthetic_Engine_Fast,"Broad-based price increases in services are still elevated, while manufacturing output continues to expand robustly.",Programmatic flat layout split optimization.,0.0,2.0,1.0,0.0,0.0,0.0
Synthetic_Engine_Fast,"Household spending picked up in August supported by tax rebates, however the government is running a larger-than-expected deficit.",Programmatic flat layout split optimization.,0.0,0.0,0.0,1.0,2.0,0.0
Synthetic_Engine_Fast,"The central bank maintained an accommodative stance, but the current account deficit is widening on higher import costs.",Programmatic flat layout split optimization.,1.0,0.0,0.0,0.0,0.0,2.0
Synthetic_Engine_Fast,"Wage pressures are rising as firms scramble for talent, though the slowdown in housing construction persists.",Programmatic flat layout split optimization.,0.0,0.0,2.0,1.0,0.0,0.0
Synthetic_Engine_Fast,"Agricultural output rebounded strongly after drought, yet food price inflation continues to strain household budgets.",Programmatic flat layout split optimization.,0.0,2.0,1.0,0.0,0.0,0.0
