title,text,llm_justification,Monetary_Financial,Inflation_Prices,Real_Economic_Activity,Labor_Consumption,Fiscal_Government,External_Sector
Indonesia passes sweeping bill expanding central bank role to spur growth,"JAKARTA: Indonesia's parliament on Thursday passed sweeping legislation that places further emphasis on Bank Indonesia supporting economic growth, while empowering lawmakers to evaluate independent financial regulators and the central bank.","Indonesia's parliament passed legislation expanding central bank role to support economic growth, empowering lawmakers to evaluate regulators and the central bank.",POSITIVE,ABSTAIN,POSITIVE,ABSTAIN,ABSTAIN,ABSTAIN
Indonesia passes sweeping bill expanding central bank role to spur growth,"Parliament passed the bill by acclamation, with support from all parties, according to the deputy speaker, Sufmi Dasco Ahmad, who led Thursday's plenary session.","The bill expands the central bank's role to spur growth, indicating a positive shift in monetary policy.",POSITIVE,ABSTAIN,POSITIVE,ABSTAIN,ABSTAIN,ABSTAIN
Indonesia passes sweeping bill expanding central bank role to spur growth,"The bill, which has not yet been made public, has added to concerns among investors about the possibility it could lead to political interference in the central bank, with President Prabowo Subianto determined to stick to his high-growth agenda and achieve 8% economic expansion during his term.","The bill's potential for political interference in the central bank is a negative for monetary policy, while the President's high-growth agenda is positive for real economic activity.",NEGATIVE,ABSTAIN,POSITIVE,ABSTAIN,ABSTAIN,ABSTAIN
Indonesia passes sweeping bill expanding central bank role to spur growth,"Finance Minister Purbaya Yudhi Sadewa at a hearing with parliament's finance commission on Wednesday said existing legislation would be expanded to require the central bank to implement policies that ""that create an economic environment conducive to real sector growth and job creation"".","The central bank's expanded role aims to stimulate real sector growth and job creation, indicating a positive macroeconomic stance.",POSITIVE,ABSTAIN,POSITIVE,POSITIVE,ABSTAIN,ABSTAIN
Indonesia passes sweeping bill expanding central bank role to spur growth,"Passage of the bill was a formality, with Prabowo's ""big-tent"" coalition controling more than 80% of parliament, where the biggest party outside of his alliance has declared it is not an opposition party It comes as investors cool on Indonesia, a G20 economy of $1.4 trillion, with Moody's and Fitch earlier this year cutting their credit rating outlooks to negative from stable, citing reduced policymaking credibility and predictability.","The bill's passage may not directly impact monetary policy, but it reflects the government's efforts to address economic concerns, amidst a negative credit rating outlook.",NEUTRAL,ABSTAIN,NEGATIVE,ABSTAIN,ABSTAIN,ABSTAIN
Indonesia passes sweeping bill expanding central bank role to spur growth,"The rupiah has lost more than 7% against the U.S. dollar so far this year, making it among the worst performing emerging Asian currencies.",The rupiah's decline against the U.S. dollar indicates a negative impact on Indonesia's external sector.,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NEGATIVE
Indonesia passes sweeping bill expanding central bank role to spur growth,"It hit a historic low of 18,045 per dollar on Thursday.","The sentence describes the exchange rate, which is a component of the External Sector domain, but does not provide information about the central bank's role or actions, so it is classified as 'ABSTAIN' in all domains.",ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NEGATIVE
Indonesia passes sweeping bill expanding central bank role to spur growth,The stock market has plunged more than 30% year to date.,"The sentence describes a decline in the stock market, which is a negative indicator for the economy, but does not mention any specific macroeconomic domain.",ABSTAIN,ABSTAIN,NEGATIVE,ABSTAIN,ABSTAIN,ABSTAIN
Indonesia passes sweeping bill expanding central bank role to spur growth,"Promoting sustainable economic growth is already part of Bank Indonesia's mandate, along with price and foreign exchange rate stability.","The target sentence highlights Bank Indonesia's existing mandate, which includes promoting sustainable economic growth, price stability, and foreign exchange rate stability, indicating a focus on macroeconomic stability and growth.",POSITIVE,POSITIVE,POSITIVE,ABSTAIN,ABSTAIN,ABSTAIN
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"KUALA LUMPUR: The misconception that data centres only generate jobs is misplaced as they bring about wider economic benefits beyond direct employment through the ecosystems they help create, said Tengku Datuk Seri Zafrul Abdul Aziz.","The target sentence highlights the indirect economic benefits of data centers, which is a macroeconomic topic.",ABSTAIN,ABSTAIN,POSITIVE,ABSTAIN,ABSTAIN,ABSTAIN
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,The Malaysian Investment Development Authority (MIDA) chairman said criticisms that data centres create relatively few jobs compared with manufacturing investments fail to take into account the broader economic spillovers the industry generates for the country.,"The sentence highlights the broader economic benefits of data centers, which are often overlooked in job creation comparisons with manufacturing investments.",ABSTAIN,ABSTAIN,POSITIVE,ABSTAIN,ABSTAIN,ABSTAIN
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"""The spillover is more indirect.","The target sentence discusses the indirect economic benefits of data centers, which is a macroeconomic concept.",ABSTAIN,ABSTAIN,POSITIVE,ABSTAIN,ABSTAIN,ABSTAIN
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"That spillover comes from building and bringing in the right ecosystem, especially when you talk about artificial intelligence (AI).","The sentence highlights the importance of creating an ecosystem for AI, which can lead to indirect economic benefits, focusing on the real economic activity domain.",ABSTAIN,ABSTAIN,POSITIVE,ABSTAIN,ABSTAIN,ABSTAIN
Data centres generate wider indirect economic spillover benefits - Tengku Zafrul,"""It’s like building a highway.","The target sentence is comparing data center development to building a highway, implying a positive impact on the economy.",ABSTAIN,ABSTAIN,POSITIVE,ABSTAIN,ABSTAIN,ABSTAIN
